No. Drawing ,Trench No.,Layer,Piece,Clay Paste,Colour of Wash/Slip,Wash/Slip,Position of Wash/Slip,Chamotte,Inside Quality,Outside Quality,Firing Rate,Rate of Saftly,Inside Painting,Painting Pattern,Colour of Painting,Outside Painting,Painting Pattern,Colour of Painting,Inside Engraving,Outside Engraving,Engraving Pattern,Drawing/Shape,Comparable Site,Phase/Period,Reference 
60,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Fine,Fine,Sufficient,Good,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale.1997,P: 130, Fig: 170, NO: 4"
61,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 3,"Biscione. 1987, p: 395, Fig: 2, NO: C"
62a ,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale.1997, P: 102, Fig: 116, NO: 1"
62b,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Mundigak (AF),Period: IV2,"Casal.1961, Fig: 92, NO: 397"
63,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale.1997, P: 105, Fig: 123, NO: 3"
64,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A,"Salvatori, Vidale.1997, P: 113, Fig: 138, NO: 1"
65,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale.1997, P: 95, Fig: 103, NO: 1"
66,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Very fine,Medium,Medium,Sufficient,Good,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 5A,"Salvatori, Vidale.1997, P: 113, Fig: 138, NO: 3"
67,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale.1997, P: 104, Fig: 120, NO: 1"
68,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale.1997, P: 148, Fig: 196, NO: 3"
69,S.T.1,S.U 4,Rim,Dark red,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale.1997, P: 148, Fig: 196, NO: 3"
70,S.T.1,S.U 4,Rim,Dark red,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,,,,,,,,,,
71,S.T.1,S.U 4,Rim,Dark red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 3,"Salvatori, Vidale.1997, P: 153, Fig: 206, NO: 3"
72,S.T.1,S.U 4,Rim,Buff,Buff,Slip,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale.1997, P: 105, Fig: 123, NO: 3"
73,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A,"Salvatori, Vidale.1997, P: 113, Fig: 138, NO: 4"
74,S.T.1,S.U 4,Rim,Buff,Buff,Slip,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 3,"Salvatori, Vidale.1997, P: 153, Fig: 206, NO: 5"
75,S.T.1,S.U 4,Rim,Buff,Buff,Slip,Inside/Outside,Very fine,Medium,Medium,Sufficient,Good,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 3,"Salvatori, Vidale.1997, P: 153, Fig: 207, NO: 1"
76,S.T.1,S.U 4,Rim,Dark red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale.1997, P: 148, Fig: 196, NO: 3"
77a,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Sufficient,Medium,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 5A,"Salvatori, Vidale.1997, P: 113, Fig: 138, NO: 4"
77b,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Sufficient,Medium,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Drawing,Bampur,Bampur III,"De cardi,1970, P: 286, Fig: 22, NO: 130"
77c,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Sufficient,Medium,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Drawing,Mundigak (AF),Period: IV1,"Casal.1961, Fig: 68, NO: 206"
78,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Drawing,Rud Biaban 2,Phase: 2,"Biscione. 1987, p: 395, Fig: 2, NO: C"
79,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale.1997, P: 148, Fig: 196, NO: 4"
80,S.T.1,S.U 4,Rim,Buff,Buff,Slip,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 3,"Salvatori, Vidale.1997, P: 153, Fig: 207, NO: 2"
81,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Very fine,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale.1997, P: 148, Fig: 196, NO: 4"
82,S.T.1,S.U 4,Rim,Buff,Buff,Slip,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale.1997, P: 148, Fig: 196, NO: 5"
83,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale.1997, P: 148, Fig: 196, NO: 3"
84,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Very fine,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A,"Salvatori, Vidale.1997, P: 113, Fig: 138, NO: 4"
85,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,,,,,,,,,,
86,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Fine,Fine,Sufficient,Good,Inside,Geometric,Brown,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale.1997, P: 102, Fig: 117, NO: 2"
87,S.T.1,S.U 4,Rim,Dark red,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A,"Salvatori, Vidale.1997, P: 114, Fig: 141, NO: 1"
88,S.T.1,S.U 4,Rim,Dark red,Buff,Wash,Inside/Outside,Very fine,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale.1997, P: 130, Fig: 170, NO: 1"
89,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale.1997, P: 144, Fig: 190, NO: 6"
90,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Very fine,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale.1997, P: 102, Fig: 172, NO: 2/2"
91,S.T.1,S.U 4,Rim,Dark red,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,Inside,Geometric,Brown,,,,,,,Shape,Rud Biaban 2,Phase: 2,"Biscione. 1987, p: 398, Fig: 5, NO: G"
92,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Very fine,Fine,Fine,Sufficient,Good,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale.1997, P: 101, Fig: 114, NO: 5"
93,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale.1997, P: 148, Fig: 196, NO: 3"
94,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale.1997,P: 148, Fig: 196, NO: 3"
95,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale.1997, P: 147, Fig: 195, NO: 2"
96,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Very fine,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale.1997, P: 148, Fig: 196, NO: 3"
97,S.T.1,S.U 4,Rim,Dark red,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,,,,,Outside,Geometric,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale.1997, P: 103, Fig: 118, NO: 1"
98,S.T.1,S.U 4,Rim,Dark red,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale.1997, P: 101, Fig: 115, NO: 3"
99,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Bad,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 1-0,"Biscione. 1987, p: 396, Fig: 3, NO: G"
100,S.T.1,S.U 4,Rim,Buff,Buff,Slip,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,Inside,Geometric,Brown,,,,,,,Shape,Shahr-i Sokhta,Phase: 3,"Salvatori, Vidale.1997, P: 153, Fig: 207, NO: 4"
101,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,Inside,Geometric,Brown,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale.1997, P: 103, Fig: 118, NO: 1"
102,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Very fine,Fine,Fine,Sufficient,Medium,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,,,,
103,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Very fine,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale.1997, P: 148, Fig: 196, NO: 2"
104,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Very fine,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 3,"Salvatori, Vidale.1997, P: 153, Fig: 207, NO: 4"
105,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Fine,Fine,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale.1997, P: 102, Fig: 117, NO: 1"
106,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 3,"Salvatori, Vidale.1997, P: 153, Fig: 207, NO: 4"
107,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale.1997, P: 134, Fig: 177, NO: 8"
108,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 3,"Salvatori, Vidale.1997, P: 153, Fig: 207, NO: 4"
109,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 1-0,"Biscione. 1987, p: 396, Fig: 3, NO: G"
110,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Medium,,,,Outside,Geometric,Brown,,,,,,,
111,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A,"Salvatori, Vidale.1997, P: 124, Fig: 160"
112,S.T.1,S.U 4,Rim,Dark red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A,"Salvatori, Vidale.1997, P: 116, Fig: 144, NO: 4"
113,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Fine,Fine,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale.1997, P: 130, Fig: 170, NO: 4"
114a,S.T.1,S.U 4,Rim,Dark red,Buff,Slip,Inside/Outside,Very fine,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale.1997, P: 94, Fig: 101, NO: 2"
114b,S.T.1,S.U 4,Rim,Dark red,Buff,Slip,Inside/Outside,Very fine,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Bampur,Bampur III,"De cardi,1970, P: 141, Fig: 5, NO: 20"
114c,S.T.1,S.U 4,Rim,Dark red,Buff,Slip,Inside/Outside,Very fine,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Mundigak (AF),Period: IV3,"Casal.1961, Fig: 95, NO: 435"
114d,S.T.1,S.U 4,Rim,Dark red,Buff,Slip,Inside/Outside,Very fine,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Tepe Yahya,Period: IVB6 ,"Potts,2001, P: 97, Fig: 3.17, NO: C"
115,S.T.1,S.U 4,Body,Dark red,Buff,Wash,Inside/Outside,Coarse,Fine,Fine,Sufficient,Good,,,,Outside,Geometric,Brown,,,,,,,
116,S.T.1,S.U 4,Body,Buff,Dark red,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale.1997, P: 144, Fig: 190, NO: 2"
117,S.T.1,S.U 4,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,Outside,Geometric,Red,,,,,,,
118,S.T.1,S.U 4,Body,Dark red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,Outside,Geometric,Brown,,,,,,,
119,S.T.1,S.U 4,Body,Dark red,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Medium,,,,Outside,Geometric,Brown,,,,,,,
120,S.T.1,S.U 4,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Fine,Fine,Sufficient,Good,,,,Outside,Geometric,Brown,,,,,,,
121,S.T.1,S.U 4,Body,Buff,Buff,Slip,Inside/Outside,Coarse,Medium,Medium,Sufficient,Medium,,,,Outside,Geometric,Black,,,,,,,
122a,S.T.1,S.U 4,Body,Dark red,Buff,Wash,Inside/Outside,Coarse,Medium,Medium,Sufficient,Good,,,,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 3,"Salvatori, Vidale.1997, P: 144, Fig: 190, NO: 2"
122b,S.T.1,S.U 4,Body,Dark red,Buff,Wash,Inside/Outside,Coarse,Medium,Medium,Sufficient,Good,,,,Outside,Geometric,Brown,,,,Shape,Mundigak (AF),Period: IV1,"Casal,1961, Fig: 67, NO: 200"
123,S.T.1,S.U 4,Body,Dark red,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,Outside,Geometric,Brown,,,,,,,
124,S.T.1,S.U 4,Body,Dark red,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Medium,,,,Outside,Geometric,Brown,,,,,,,
125,S.T.1,S.U 4,Body,Buff,Buff,Wash,Inside/Outside,Coarse,Medium,Medium,Sufficient,Good,,,,Outside,Geometric,Brown,,,,,,,
126,S.T.1,S.U 4,Body,Buff,Buff,Slip,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,Outside,Geometric,Brown,,,,,,,
127,S.T.1,S.U 4,Body,Dark red,Buff,Wash,Inside/Outside,Medium-sized,Fine,Fine,Sufficient,Good,,,,Outside,Geometric,Brown,,,,,,,
128,S.T.1,S.U 4,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,Outside,Mixed,Brown,,,,Shape,Shahr-i Sokhta,Phase: 3,"Salvatori, Vidale.1997, P: 144, Fig: 190, NO: 2"
129,S.T.1,S.U 4,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Fine,Fine,Sufficient,Good,,,,Outside,Geometric,Brown,,,,,,,
130,S.T.1,S.U 4,Body,Dark red,Buff,Wash,Inside/Outside,Very fine,Medium,Medium,Sufficient,Good,,,,Outside,Geometric,Brown,,,,,,,
131a,S.T.1,S.U 4,Body,Dark red,Buff,Wash,Inside/Outside,Medium-sized,Fine,Fine,Sufficient,Bad,,,,Outside,Mixed,Brown,,,,Shape,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale,1997, P: 145, Fig: 188 NO: 6"
131b,S.T.1,S.U 4,Body,Dark red,Buff,Wash,Inside/Outside,Medium-sized,Fine,Fine,Sufficient,Bad,,,,Outside,Mixed,Brown,,,,Shape,Miri Qalat (P),Period: IIIb ,"Didier,2007, P: 100, Fig: D117"
132,S.T.1,S.U 4,Body,Dark red,Dark red,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,Outside,Geometric,,,,
133,S.T.1,S.U 4,Base,Buff,Buff,Wash,Inside/Outside,Coarse,Medium,Medium,Sufficient,Good,,,,,,,,Outside,Potter's mark,,,,
134,S.T.1,S.U 4,Base,Dark red,Buff,Wash,Inside/Outside,Coarse,Medium,Medium,Sufficient,Good,,,,,,,,,,,,,
135,S.T.1,S.U 4,Base,Dark red,Buff,Wash,Inside/Outside,Medium-sized,Coarse,Coarse,Sufficient,Good,,,,,,,,,,,,,
136,S.T.1,S.U 4,Base,Dark red,,,,Coarse,Medium,Medium,Sufficient,Medium,,,,,,,,,,,,,
137,S.T.1,S.U 4,Base,Dark red,,Wash,,Coarse,Coarse,Coarse,Sufficient,Good,,,,,,,,,,,,,
138,S.T.1,S.U 4,Base,Dark red,Buff,Wash,Inside/Outside,Coarse,Medium,Medium,Sufficient,Good,,,,,,,,,,,,,
139,S.T.1,S.U 4,Base,Buff,,,,Medium-sized,Coarse,Coarse,Sufficient,Good,,,,,,,,,,,,,
140a ,S.T.1,S.U 4,Rim-Base,Red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale.1997, P: 102, Fig: 117, NO: 3"
140b,S.T.1,S.U 4,Rim-Base,Red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Mundigak (AF),Period: IV1,"Casal,1961, Fig: 67, NO: 199"
141,S.T.1,S.U 4,Rim-Base,Red,Dark red,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 3,"Salvatori, Vidale.1997, P: 153, Fig: 206, NO: 5"
142,S.T.1,S.U 4,Rim-Base,Dark red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale.1997, P: 152, Fig: 205, NO: 1"
143a,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,Inside,Geometric,Black,Outside,Geometric,Black,,,,Shape,Bampur,Bampur VI,"De cardi,1970, P: 317, Fig: 43, NO: 444"
143b,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,Inside,Geometric,Black,Outside,Geometric,Black,,,,Shape,Mundigak (AF),Period: IV3,"Casal,1961, Fig: 95, NO: 435"
144,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 3,"Salvatori, Vidale.1997, P: 153, Fig: 206, NO: 5"
145a,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Fine,Fine,Sufficient,Good,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale.1997, P: 100, Fig: 113, NO: 4"
145b,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Fine,Fine,Sufficient,Good,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Bampur,Bampur VI,"De cardi,1970, P: 317, Fig: 43, NO: 440"
145c,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Mundigak (AF),Period: IV2,"Casal,1961, Fig: 92, NO: 399"
146,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,Inside,Geometric,Black,Outside,Geometric,Black,,,,Shape,Shahr-i Sokhta,Phase: 8-7,"Salvatori, Vidale.1997, P: 84, Fig: 82, NO: 4"
147a,S.T.1,S.U 4,Rim,Buff,Dark red,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale.1997, P: 149, Fig: 199, NO: 5"
147b,S.T.1,S.U 4,Rim,Buff,Dark red,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Drawing,Mundigak (AF),Period: IV2,"Casal,1961, Fig: 89, NO: 394"
147c,S.T.1,S.U 4,Rim,Buff,Dark red,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Tepe Yahya,Period: IVB6 ,"Potts, 2007, P: 97, Fig: 3.17, NO: C"
147d,S.T.1,S.U 4,Rim,Buff,Dark red,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Damb Sadaat (P),Survey,"Fairservis, 1952, P: 11, Fig: 2, NO: 1"
147e,S.T.1,S.U 4,Rim,Buff,Dark red,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Nurzai,Survey,"Dupree, 1963, P: 96, Fig: 6"
148,S.T.1,S.U 4,Rim,Buff,Red,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale.1997, P: 148, Fig: 196, NO: 5"
149,S.T.1,S.U 4,Rim,Dark red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale.1997, P: 103, Fig: 118, NO: 1"
150,S.T.1,S.U 4,Rim,Red,Buff,Wash,Inside/Outside,Coarse,Coarse,Coarse,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale.1997, P: 147, Fig: 198, NO: 4/3"
151,S.T.1,S.U 4,Rim,Red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A,"Salvatori, Vidale.1997, P: 120, Fig: 118, NO: 1"
152,S.T.1,S.U 4,Rim,Dark red,Buff,Wash,Inside/Outside,Medium-sized,Coarse,Coarse,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale.1997, P: 147, Fig: 152, NO: 1"
153a,S.T.1,S.U 4,Rim,Dark red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale.1997, P: 147, Fig: 198, NO: 4/3"
153b,S.T.1,S.U 4,Rim,Dark red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Bampur,Bampur VI,"De cardi,1970, P: 317, Fig: 43, NO: 440"
153c,S.T.1,S.U 4,Rim,Dark red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Mundigak (AF),Period: IV2,"Casal,1961, Fig: 89, NO: 399"
154,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale.1997, P: 135, Fig: 179, NO: 5"
155,S.T.1,S.U 4,Rim,Buff,Buff,Wash,Inside/Outside,Coarse,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale.1997, P: 149, Fig: 199, NO: 5"
