No. Drawing ,Trench No.,Layer,Piece,Clay Paste,Colour of Wash/Slip,Wash/Slip,Position of Wash/Slip,Chamotte,Inside Quality,Outside Quality,Firing Rate,Rate of Saftly,Inside Painting,Painting Pattern,Colour of Painting,Outside Painting,Painting Pattern,Colour of Painting,Inside Engraving,Outside Engraving,Engraving Pattern,Drawing/Shape,Comparable Site,Phase/Period,Reference 
20,S.T.1,S.U 1,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 8-7 ,"Salvatori, Vidale, 1997, P: 89, Fig: 91, NO: 4 "
21a,S.T.1,S.U 1,Rim,Black,Dark,Wash,Inside/Outside,Fine,Fine,Fine,Deficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6 ,"Salvatori, Vidale, 1997, P: 102, Fig: 116, NO: 1 "
21b,S.T.1,S.U 1,Rim,Black,Dark,Wash,Inside/Outside,Fine,Fine,Fine,Deficient,Medium,,,,,,,,,,Shape,Bampur,Bampur IV2 ,"De cardi, 1970, P: 317, Fig: 43, NO: 437 "
21c,S.T.1,S.U 1,Rim,Black,Dark,Wash,Inside/Outside,Fine,Fine,Fine,Deficient,Medium,,,,,,,,,,Shape,Mundigak (AF),Period IIIC ,"Casal, 1961, Fig: 95, No: 435 "
22,S.T.1,S.U 1,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6 ,"Salvatori, Vidale, 1997, P: 107, Fig: 126, NO: 4 "
23,S.T.1,S.U 1,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,sufficient,Medium,Inside,Geometric,Brown,,,,,,,Shape,Shahr-i Sokhta,Phase: 3 ,"Salvatori, Vidale, 1997, P: 153, Fig: 206, NO: 4 "
24,S.T.1,S.U 1,Rim,Black,Dark,Wash,Inside/Outside,Fine,Medium,Medium,sufficient,Good,Inside,Geometric,Brown,,,,,,,Shape,Shahr-i Sokhta,Phase: 6 ,"Salvatori, Vidale, 1997, P: 106, Fig: 124, NO: 3 "
25,S.T.1,S.U 1,Rim,Red,Red,Wash,Inside/Outside,Fine,Fine,Fine,sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 3 ,"Salvatori, Vidale, 1997, P: 153, Fig: 207, NO: 4 "
26a,S.T.1,S.U 1,Rim,Black,Dark,Wash,Inside/Outside,Medium-sized,Medium,Coarse,Deficient,Medium,,,,,,,,,,Shape,Bampur,Bampur IV2 ,"De cardi, 1970, P: 317, Fig: 43, NO: 438 "
26b,S.T.1,S.U 1,Rim,Black,Dark,Wash,Inside/Outside,Medium-sized,Medium,Coarse,Deficient,Medium,,,,,,,,,,Shape,Miri Qalat (P),Period IIIC ,"Didier, 2007, P: 193, Fig: 182, NO: 4.18 "
27,S.T.1,S.U 1,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A ,"Salvatori, Vidale, 1997, P: 113, Fig: 138, NO: 2 "
28,S.T.1,S.U 1,Rim,Dark Red,Buff,Wash,Inside/Outside,Fine,Fine,Medium,sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 3 ,"Salvatori, Vidale, 1997, P: 153, Fig: 207, NO: 2 "
29,S.T.1,S.U 1,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 3 ,"Salvatori, Vidale, 1997, P: 153, Fig: 207, NO: 3 "
30,S.T.1,S.U 1,Rim,Black,Buff,Wash,Inside/Outside,Medium-sized,Medium,Fine,Deficient,Medium,,,,,,,,,,Shape,Tepe Yahya,Period IIIB3 ,"Potts, 2001,P: 151, Fig: 5.9, NO: C"
31,S.T.1,S.U 1,Rim,Dark Red,Dark Red,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6 ,"Salvatori, Vidale, 1997, P: 107, Fig: 126, NO: 4 "
32,S.T.1,S.U 1,Rim,Black,Dark,Wash,Inside/Outside,Fine,Fine,Fine,sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6 ,"Salvatori, Vidale, 1997, P: 107, Fig: 126, NO: 2 "
33,S.T.1,S.U 1,Rim,Dark Red,Dark Red,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 3 ,"Salvatori, Vidale, 1997, P: 123, Fig: 158 "
34,S.T.1,S.U 1,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale, 1997, P: 148, Fig: 196, NO: 3 "
35,S.T.1,S.U 1,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A ,"Salvatori, Vidale, 1997, P: 123, Fig: 158 "
36,S.T.1,S.U 1,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6 ,"Salvatori, Vidale, 1997, P: 101, Fig: 115, NO: 2 "
37,S.T.1,S.U 1,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Coarse,Medium,sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 3 ,"Salvatori, Vidale, 1997, P: 153, Fig: 207, NO: 1 "
38,S.T.1,S.U 1,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,sufficient,Good,,,,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 6 ,"Salvatori, Vidale, 1997, P: 142, Fig: 187, NO: 10 "
39,S.T.1,S.U 1,Rim,Buff,Buff,Wash,Inside/Outside,Coarse,Medium,Medium,sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A ,"Salvatori, Vidale, 1997, P: 142, Fig: 160 "
40,S.T.1,S.U 1,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A ,"Salvatori, Vidale, 1997, P: 116, Fig: 144, NO: 1 "
41,S.T.1,S.U 1,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A ,"Salvatori, Vidale, 1997, P: 123, Fig: 158 "
42,S.T.1,S.U 1,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale, 1997, P: 148, Fig: 196, NO: 3 "
43,S.T.1,S.U 1,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6 ,"Salvatori, Vidale, 1997, P: 103, Fig: 118, NO: 1 "
44,S.T.1,S.U 1,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6 ,"Salvatori, Vidale, 1997, P: 102, Fig: 117, NO: 1 "
45,S.T.1,S.U 1,Rim,Dark Red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale, 1997, P: 149, Fig: 198, NO: 5 "
46,S.T.1,S.U 1,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6 ,"Salvatori, Vidale, 1997, P: 107, Fig: 127, NO: 4 "
47,S.T.1,S.U 1,Rim,Buff,Dark,Wash,Inside/Outside,Fine,Medium,Medium,Deficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6 ,"Salvatori, Vidale, 1997, P: 107, Fig: 127, NO: 4 "
48,S.T.1,S.U 1,Rim,Red,Red,Wash,Inside/Outside,Fine,Medium,Medium,sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6 ,"Salvatori, Vidale, 1997, P: 102, Fig: 116, NO: 1 "
49,S.T.1,S.U 1,Rim,Red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Coarse,sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 3 ,"Salvatori, Vidale, 1997, P: 153, Fig: 207, NO: 4 "
50,S.T.1,S.U 1,Body,Dark Red,Buff,Wash,Inside/Outside,Medium-sized,Coarse,Medium,sufficient,Medium,,,,Outside,Geometric,Black,,,,,,,
51,S.T.1,S.U 1,Body,Dark Red,Red,Wash,Inside/Outside,Medium-sized,Coarse,Medium,sufficient,Medium,,,,,,,,,,,,,
52,S.T.1,S.U 1,Body,Red,Buff,Wash,Inside/Outside,Fine,Medium,Medium,sufficient,Medium,,,,,,,,,,,,,
53,S.T.1,S.U 1,Body,Dark Red,Buff,Wash,Inside/Outside,Medium-sized,Coarse,Coarse,sufficient,Medium,,,,,,,,,,,,,
54,S.T.1,S.U 1,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Coarse,Coarse,sufficient,Medium,,,,,,,,Outside,Geometric,Shape,Miri Qalat (P),Period IIIb ,"Didier, 2007, P: 106, Fig: 94, NO: D226 "
55,S.T.1,S.U 1,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Coarse,Coarse,sufficient,Good,,,,Outside,Geometric,Brown,,,,Shape,Miri Qalat (P),Period IIIb ,"Didier, 2007, P: 107, Fig: 95, NO: 237 "
56,S.T.1,S.U 1,Body,Dark Red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Medium,,,,Outside,Geometric,Brown,,,,,,,
57,S.T.1,S.U 1,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Coarse,Coarse,sufficient,Medium,,,,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 5 ,"Salvatori,Vidale,1997, P: 122, Fig: 156 "
58,S.T.1,S.U 1,Base,Buff,Buff,Wash,Inside/Outside,Medium-sized,Coarse,Coarse,sufficient,Medium,,,,,,,,,,,,,
59,S.T.1,S.U 1,Base,Red,Red,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Good,,,,,,,,,,,,,
60,S.T.1,S.U 1,Base,Red,Buff,Wash,Inside/Outside,Fine,Coarse,Coarse,sufficient,Medium,,,,,,,,,,,,,
61,S.T.1,S.U 1,Base,Red,Red,Wash,Inside/Outside,Medium-sized,Fine,Fine,sufficient,Good,,,,,,,,,,,,,
62,S.T.1,S.U 1,Base,Dark Red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Deficient,Good,,,,,,,,,,Shape,Bampur,Bampur: I-IV ,"De cardi, 1970, P: 302, Fig: 34, No: 343/344 "
63,S.T.1,S.U 1,Base,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,,,,
64,S.T.1,S.U 1,Base,Red,Red,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Miri Qalat (P),Period IIIC ,"Didier, 2007, P: 185, Fig:174, NO: 1.8 "
65,S.T.1,S.U 1,Base,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Deficient,Bad,,,,,,,,,,,,,
66,S.T.1,S.U 1,Base,Grey,Grey,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,,,,
1,S.T.1,S.U 2,Rim,Dark Red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Deficient,Good,,,,,,,,,,,,,
2a,S.T.1,S.U 2,Rim,Dark Red,Buff,Wash,Inside/Outside,Coarse,Medium,Medium,Deficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 103, Fig: 118, NO: 1"
2b,S.T.1,S.U 2,Rim,Dark Red,Buff,Wash,Inside/Outside,Coarse,Medium,Medium,Deficient,Medium,,,,,,,,,,Shape,Tepe Yahya,Period: IVB4-2 ,"Potts,2001, P: 65, Fig: 5.9.G"
3a,S.T.1,S.U 2,Rim,Dark Red,Buff,Wash,Inside/Outside,Medium-sized,Coarse,Medium,sufficient,Bad,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 103, Fig: 118, NO: 1 "
3b,S.T.1,S.U 2,Rim,Dark Red,Buff,Wash,Inside/Outside,Medium-sized,Coarse,Medium,sufficient,Bad,,,,,,,,,,Shape,Tepe Yahya,Period: IVB4-2 ,"Potts,2001, P: 65, Fig: 5.9.G"
4,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A ,"Salvatori, Vidale,1997, P: 118, Fig: 148"
5,S.T.1,S.U 2,Rim,Black,Buff,Wash,Inside/Outside,Coarse,Medium,Coarse,sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale,1997, P: 148, Fig: 197, NO: 4"
6,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Fine,sufficient,Bad,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale,1997, P: 151, Fig: 198, NO: 5"
7a,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 101, Fig: 114, NO: 3 "
7b,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Good,,,,,,,,,,Shape,Bampur,Bampur VI ,"De cardi,1970, P: 317, Fig: 43, NO: 437 "
7c,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Medium,,,,,,,,,,Shape,Mundigak (AF),Period: IV3,"Casal,1961, Fig: 94, NO: 428 "
8,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Coarse,Medium,sufficient,Bad,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale,1997, P: 130, Fig: 170, NO: 6 "
9,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Bad,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5B ,"Salvatori, Vidale,1997, P: 130, Fig: 170, NO: 6 "
10,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 3 ,"Salvatori, Vidale,1997, P: 153, Fig: 207, NO: 1 "
